Device,Time,Type,Longitude,Latitude,File,Bearing,Velocity,Distance,Temperature,Voltage,TowerLat,TowerLon
dev860264051925924,2026-05-19 14:02:09+00:00,gps,10.722800781250001,59.9409425,_track.qo,,,,26.0625,4.5429688,59.936384,10.707317
dev860264051925924,2026-05-19 14:02:14+00:00,gps,10.72283203125,59.940982500000004,_track.qo,20.010254,0.9624896,4.812448,26.0625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:03:11+00:00,gps,10.72181640625,59.941332499999994,_track.qo,304.40585,1.201682,68.49587,26.0625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:04:09+00:00,gps,10.72075390625,59.9417525,_track.qo,308.5223,1.3010083,75.45848,31.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:05:12+00:00,gps,10.71937890625,59.9420625,_track.qo,294.07486,1.3299208,83.78501,31.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:06:11+00:00,gps,10.71808984375,59.9423875,_track.qo,296.76172,1.3659003,80.58811,31.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:06:55+00:00,gps,10.717277343749998,59.9427425,_track.qo,311.12283,1.3587389,59.78451,31.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:07:53+00:00,gps,10.717277343749998,59.9432375,_track.qo,359.9681,0.9483842,55.006287,31.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:08:58+00:00,gps,10.71829296875,59.9438325,_track.qo,40.447693,1.33477,86.76005,31.75,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:09:56+00:00,gps,10.71880078125,59.9442025,_track.qo,34.182636,0.86736524,50.307182,31.75,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:12:28+00:00,gps,10.719246093750002,59.9441575,_track.qo,101.0594,0.16817583,25.562727,31.75,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:12:33+00:00,gps,10.71909765625,59.9439625,_track.qo,201.32957,4.6622486,23.311243,31.75,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:12:53+00:00,gps,10.71939453125,59.943852500000006,_track.qo,126.89766,1.0274231,20.548462,31.75,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:13:56+00:00,gps,10.720121093749999,59.943492500000005,_track.qo,134.82314,0.9098437,57.320152,32.25,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:14:55+00:00,gps,10.720152343750001,59.9434725,_track.qo,140.69916,0.043392356,2.560149,32.25,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:15:54+00:00,gps,10.72012890625,59.9434825,_track.qo,321.39197,0.031112218,1.8356209,32.25,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:16:57+00:00,gps,10.72016015625,59.9434825,_track.qo,100.201775,0.02458094,1.5485992,32.25,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:17:55+00:00,gps,10.720152343750001,59.943492500000005,_track.qo,316.23233,0.007079425,0.41060662,32.25,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:18:57+00:00,gps,10.720207031249998,59.943492500000005,_track.qo,86.35322,0.048874743,3.030234,30.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:19:57+00:00,gps,10.715582031250001,59.939812499999995,_track.qo,212.20467,8.051231,483.07385,30.625,4.5390625,59.936384,10.707317
dev860264051925924,2026-05-19 14:20:12+00:00,gps,10.71559765625,59.939812499999995,_track.qo,,,,34.3125,5.0,59.940918,10.706543
dev860264051925924,2026-05-19 14:20:12+00:00,gps,10.71559765625,59.939812499999995,_track.qo,,,,36.125,4.6289062,59.936094,10.718843
